,0
1,ne 06/05/1995
3,centre dimagerie medicale pavillon
5,"78,75eur"
6,lundi 9h00/18h00
8,59100 roubaix
10,agee de 56 ans
11,pulmicort img aeroso!
12,pharmacie de la gare
13,mardi 9h00/18h00
14,12140 clamart
16,92130 issylesmoulineaux
18,cabin
19,hopitaux universitaires paris centre
20,scannez ce code barre pour retrouver cette ordonnance
25,prescpt oper
27,mercredi 15 septembre 2021
28,"issy les moulineaux, 05/10/2021"
29,monyant total
30,fettovs 25 47 03
31,triafem) cpr 3x21
32, 1 airomir autohaler 100 microg susp(salbutamol 100 ug suspension pour inhalation)
33,inexium 20
34,"9h30 a 12h 30, 14h a 19h"
35,"produit ou prestation, indiquer sa designation precise "
37,5- daflon 500mg cpr 30 (fraction flavonoique)
40,4) amitriptyline (chlorhydrate) 40 mg/ml solution buvable en gte
43,ans
46,service des maladies
47,mandibulairo
50,15 septembre 2021
51,chirurgie gynecologique et mammaire
52,praticien a la fondation ophtalmologique a de rothschild
54,"a meudon, le 17/09/2021"
56,d sylvaine hamelin
57,> colchicine 1 mg
58,fasquelle
60, rabeprazole arrow generiques 20 mg cpr gastrores plq/14
61,bote)
66,|dispensation du 10/04/2021 a 12h16m00s
68,sauf samedi apresmidi
69,hapitel ambroise pare
71,institut hospitalo-universitaire mediterranee infection
72,centre durologie
73,"sodium chlorure 0,9 % ; voie ophtaimique ; collyre solution"
74,nrpps
75,(nom de famille (de naissance) suivi du nom dusage (facultatif et sil y a lien))
79,nom i
81,"clamart, le 24/09/2021"
82,zik
83,medecine de la repropuction
85,1 handate de medicaments remtoursatles
86,consultlibre 8h3011h30
87,(doliprane 1000 mg cpr piq/8)
89,sejour prolonge de plusieurs mois a l etranger
90,eur
91,reeducation perineale
97,enfants
98,chirurge maxilofaciale
101,rosuvastatine 5mg evolugen cpr 90 (rosuvastatine)
103,rendezvous hospitalisation
109,kardegic 75 mg
110,hautsdeseine
112,
114,mane
116,"membre dune association de geslign, le reglement par cheque est zccepte,"
117,identiication de la sinictore
119,miplantologie
120,d mesotherapie
121,1) hydroxyzine chlorhydrate 25 mg comprime
123,monsieur
124,inexium 20mg cpr 7 (esomeprazole 20 mg comprime)
126,(affectation exonerante)
127,amlodipine (besilate) * 5 mg ; voie orale; gel
128,le ogloglen
129,hopitaltenon
130,oirot
133,nom et prenom pharmacie de lecoquartier
134,assistante sociale
136,consultat
138,sudique)
140,larganisme conentionne (potur les nun saluries)
141,n adeli 
142,carcinologio
144,diu de mesotherapie et techniques dinjections
146,est a coller ici
147,vendredi 9ho0/18h00
148,cv tp  0759cro10
149,prescriptions relative au traitement de laffection de longue duree reconnue (liste ou hors liste)
150,1431 inessut siret)
151,visites a domicile lapres midi
153,| 2 x stilnox 10mg cpr 14 0
154,"nutrition parenterale a domicie, dans les 26 dernieres semaines?"
155,lodif
157,5 x fosfomycine 3g zen gle buvable s 1
159,"clamart, le 04/10/2021"
161,22690 pleudihen/rance
162,uvedose 50000
163,portail info
164,75017 paris
166,prescriptions relatives au traitement de laffection de longue duree reconnue (liste ou hors
167,mt tp
169,de 09h00 a 13h00 et de 14h00 a 19h00
170,n dimmalriculation (a compleier par iassure(e))
171,ticagrelor 90 mg comprime (brilique)
173,mt brut
176,|dispensation du 31/03/2021 a 13h36m33s
179,m(47 ans)
180,41 monuril 3 g glo s buvable en sac sach/8g (fosfomycine (trometamol) 3g gle p solution buvable sach (1
181,medecin urgentiste
182,secretariat medical
183,75475 peris
184,valider
187,consultations sur rendezvous
188,biodebwy
191,17/04/2021
193,"(raison sociale du cabinet, de leteblissement et nam, finess ou siret)"
194,bactrim forte
195,f11
196,"9,enue charles de gaulle"
198,accueilurgence
199,annonce
200,l2 3 juin 2021
202,mentions obligatoires a reporter sur lordonnance
203,prescriptions relatives au traitement de laffection de longue duree reconnue (list
204,date de debut 
205,prise de rendezvous sur
206,n dimmatricularian (a amalter par lassure(e))
207,123 boufevard de port roya!
209,sante du ploateau
210,monsleur
214,9h30 a 11h et de 17 h a 20 h
216,> pneumocoque
219,acte gratuit
220,lo airee des tournesots 95870 bezons
221,"1, passage du clos 92380 garches"
222,"agee de 25 ans, nee le"
224, venclyxto 100 mg
225,rendezvous par internet sur doctolibfr
226,vid
227, dotarem 20ml en kit avec seringue pre remplie (cip)
229,"valence, le 19/10/2021"
230,2) azithromycine 250 mg comprime
231,seine
232,1oma
233,visites a domicileurgences assures au cabinet
235,abn ce la lumere
237,prescription sans rapport avectalfection de longue duree (maladies intergurrentes)
238,colecalciferol * 100 000 ui/2 ml ; voie orale ; solution buvable
240,08/03/2021
242,"membre dune aga, le reglement des honoraires par cheque est autorisc"
247,"121,7"
248,"saclay, le 11 juin 2021"
249,nombre total prescriptions 5
251,secretariat 
252,cellcept 500
253,centre hospitalier universitaire de la guadeloupe
254,prescriptions relatives au traitement de l
256,3) omeprazole 20 mg gel (gle gastroresis) (omeprazole almus 20 mg gel gastrores fl/14) (14 xs
257,honsieur
258,"betamet bgr 0,05% crème t/30g"
260,cabinet medicai  amelot paris 11
261,reconstructrice et esthetiquo
262,montant rc 
263,nasler 2 irziozeilons theiepeuticues en oplitaimooge
265,maison medicale de meudonlaforet
266,2x zolpidem 10mg winth comprime 14
267,"aal, fiaess uu siret,"
268,"quiconque se rend coupable de fraude ou de fausse declaration est passibie de penalites financieres, damende et/ou demprisonnement"
270,par lasik
273,mi
279,"53,4zeur 7 34009 2678410 2 eliquis smg cprbt60 (156540)"
280,"drs f baghaie, h bouhmar, f leproux, t mugel, g roland, c rousseau,"
281,chirurgie cervicofaciale
283,prescripteur
285,"lidocaine 2,5 % prilocaine 2,5 % pans medic (emlapatch)"
289,1)
290,"la rochelle, le 03/05/2021"
291,le 7/09/2021
293,"bisoprolol fumarate 2,5 mg comprime (bisoprolol bgr)"
294,a ladresse suivante
295,"3 tetracycline 250 mg, comprime"
296,(maladies intorearrentes)
297,euphon (sirop) (codeine) 300ml
300,auricularum pdrsol auric 10ml 1
301,poursuite de lutosurveillance glycemique free style libre 
302,de 10h a 125
304,nele 12/09/1068
305,amoxicilline 500 mg ; voie orale ; gel
306,01 (dci) fraction flavonoique purifiee micronisee 500 mg comprime ( daflon 500 mg cpr
308,d mowafak
311,shinesithefapeute
314,praticiens hospitaliors
316,1214 place simone veil
318,venerologie
319,(derinox s nas fi/15ml av ppe doseuse)
320,** **
321,"article r 1632, 3eme alinca et r 1651 dernier alinea du code de la securite sociale"
322,"membre dne sociation de gestion agrece, le reglement par cheque cst accepte"
323, sectral 200
324,desogestrel * 150 g  ethinylestradiol * 20 g ; voie orale ; comprime
325,sent vis doctoib to d7az021
326,ibuprofene 400mg arrow cpr 20 (ibuprofene)
327,colpotrophine ovules
328,adresse
329,irbesartan 75mg sandoz cpr 90 (irbesartan)
330,92330 sceaux
331,reproduction
334,a clamart le 6 24
335,"mercredi 06 octobre 2021,"
336,"durce du traitement, le cas echeant 6 mois"
338,cancer campus
339,2 specialite(s) prescrite(s)
340,"4 uvedose 2,5mg/2ml solution buvable (colecalciferol 100 000 iu solution orale)"
342,chirurgien gynecologue obstetricien echographiste chirurgie robotique
343,remplecente
346,"hexyon ser intramusculaire 0,5ml 1"
347,06
348,medecin generaliste
351,consultations du lundi au vendredi de
352,montant ro
353,1 //o o ish
355,le 22 sept 2021
356,(atarax 25 mg cpr pell sec plq/30)
357,"prevenar13 ser a/a 0,5ml"
358,edition
359,polystyrene sulfonate de sodium 15 g/dose pdre p suspension buv/rect (kayexalate)
360,prescriptions sans rapportaveclaffection de longue duree reconnue
361,"montant total 14,99eur"
362,le 24 novembre 2020
366,92100 boulognebillancourt
369,escitalopram biog 10mg comprime
370,roussy
371,"lyon, le 20/05/2021"
372,(maladies interc
375,"0,51 05%"
376,coveram 10/10
377,importation
379," paracetamol 24 mg/ml suspension buvable (doliprane 2,4 % suspension buvable sans sucre fl/100ml)"
380,dispensation du 12/04/2021 a 12h30m05s
381,"diclofenac diethylamine 1,16 % ; voie cuienee ; gel "
384,redncation perintsle
385,apmp
386,(rhinocort 64 ug/dose suspension pulv nas fi/120doses)
389,contre le cancer
390,service samucentre 15
391,n*dimaticielin (e completer par fassurefe))
392,"en car dergence, ppelez le 15 menbre dee asrociation agtee, le reglement des honcraires per cheque est czcepte"
393,recomstruciee et eeati
398,consultation de dietetique
399,rendezvous hopital de jour
400,diu de mesotherapie
401,annule et remplace lordonnance precedente
402,"0,51 65%"
403,consultation privee
407,ge malofaciale
408,identification de la structure
411,"garches, le 07/10/2021"
412,) colecalciferol 100 000 u/2 ml solution buvable
413,xarelto 20mg
414,consommer des generiques fabriques a lautre bout du monde est
415,ex1 oh sseseg
416,diprosone creme 2 tubes
417,imariannehezodearielmedeciumssantcr
419,en cas durgence la nuit  composer le 15
420,membre dune association agreee acceptant a ce titre le reglement des honoraires par cheques libelles a son nom ou par carte bancaire
428,service des maladies endocriniennes et metaboliques
429,92350 le plessis robinson
432,1) paracetamol 1 g comprime
434,lexomil cpr 30
439,"meudon, le 15/06/2021"
440,ou boostrix tetra
442,rouxtf de cotiben dose 2
444,2 patchs emla
445,pole de sante dyph
446,lundi au vendredi sur rendezvous
447,doliprane 1000
448,at
450,symbicort turbuhaler 200/6 ug/dose pdre p inhal
451,samedi 9h30 a 12h 30
452,consultations sur rendezvous et visites a domicile sous reserve dappel! le matin avant 9 heures
453,nom et prenom
454,commentaire null
456,personne recevant ies soins et assure(e) (oir natice au verso du volet i)
459,ordonnance
460,en cas durgence  centre 15
461,1 flacon betadine scrub 125 ml
462,3 claradol cafeine 500 mg/50 mg cpr eff film/2x8 (16) (cafeine 50 mg  paracetamol 500 mg comprime
463,n structure
464,sans rendezvous
465,"en cas durgence medicale, appeler le 15"
467,droits ; voir carte assure social
468,orga
471,"meudon la foret, le 04/10/2021"
474,uge maxlio facale
475,no sire
477,service dhematologie
478,dordonnance necessite donc la prise dun rdv
480,membre fondateur dcetre de chirurgle de la femme peris
481,consultations et electromyographie
482,"2) ibuprofene almus 200 mg cpr pell plq/30 (30 comprimes, comprime pellicule)  1 boite"
489,07/07/2021
491,tanhlificadon du patieni
492,1 dafalgan 1 000mg cpr 8 (paracetamol)
493,stav
494,78000 versailles
496,le 06/10/2021
497,clinique du val dor
499, diffuseur de 200ml/h
501,chirurgie maxillo-faciale
503,parodontologie et
504,encourager la dependance a dautres interets que le soin
505,"montant rc 9,65eur"
509,"medecine, ginerale"
511,"en cas durgence, composez le 15"
512,2/ polydexa gouttes auriculaires
513,(nom de famile (de naissance) suivi du nom dusage (facultatif et si y a ieu)) (a completer par le
516,omeprazole 20 bio**(mopral
517,original a conserver par le patient
518,1 magneb6vie
522,1/ euphon sirop (codeineerysimum)
523,rge plastique
526,"3) alcool dichlorobenzylique 1,2 mg amylmetacresol 0,6 mg "
527,bremontweill
529,"6- ropinirole 0,50mg arrow cpr 21 (ropinirole)"
530,medecine et chirurgie fatalcs
531,o renouvellement ou modification dune perfusion
534,mulualiste (potr les salaries) ou nom er n de
535,odontie
536,"meudon la foret, le 11/08/2021"
537,acide acetylsalicylique (sel de lysine) 75 mg pdre p solution buvable sach (kardegic)
541,consultations sans rendezvous 
543,14/09/2021
549,cadre de santo dhospitalisation
550,92360 mucopteforet
551,remplacante en medecine generale
552,78480 verneuil sur seine
554,sur rendezvous
557,1) colecalciferol (dci) 80000 ui (zyma d2 80muli s buvable a/2ml)
559,perte du tiers payant mais en etant rembourse sur le tarif du medicament de marque 
560,"diprosone 0,05% crème tub 30g (betamethasone 0,05% activite forte creme)"
562,neupogen 30
564,assistance
565,| 4 x doliprane 100omg gelu
568,(uvedose 100 000 ui solution buv)
569,membre du college national des gynecoobstericiens fra
571,et a suivre en cas de grossesse jusquau 3 eme mois de
572,site internet :
574,clinique cherest
575,posologie
576,ordo fausse
577,ancien praticien des hopitaux
579,| 2 x stilnox 10mg cpr pese 2plq/7
580,gie odontologique
581,dispensation du 08/04/2021 a 17h58m18s
582,5) paracetamol 500 mg comprime efferv
583,"(nom, prenom et identifiant"
584,de
585,92f rag1 facture pharmacie de la plaine
587,maviret 100 mg/40 mg
589,consultation privoe 
591,ancien praticien hospitalier au chu de bicetre aphp
594,prescriptions relatives au traitement de laffection de longue duree reconnue (liste ou hors liste)
595,pour la prise de rdv 
597,"paris, le 26 juillet 2021"
599,paris
600,ald3o
601," pas de renouvellement dordonnance en dehors des consultations, par"
604,cabinet medical des lilas
607,irbesartan 150mg arrow cpr 90 (irbtsartan)
609,oret
610,evry le 01/10/2021
613,levothyrox 75
614,maladies de la peau et du cuir ciievelu
615,qte
618,"en cas dergence, ppelez le 15 membre dune association agreee, le reglenent des hongraizes par cheque est aczepte"
620,medccinc fctale paris v
621,tube rehouveliblant donner droit a la delivrance des medicaments
622,"medecine generale, conventionne secteur 1"
624,uvedose 100 000 ui
625,"neuillysurseine, le 29/09/2021"
626,"consult libre 8h3011h30h, le lundi,"
627,(nom de famille (de naissance) suvi du nom dusage (facultatif et sil y a feu)) (a completer par le
628,et medecine aeronautique
630,service de cardiologie
631,"(articies 3131, 411 cl4416 du code penal, erticies l 11413 el l 162114 di code de la eecume sociate)"
633,(laroxyl 40 mg/ml s buvable f/20ml)
634,patch emla 5 %
635,|dispensation du 22/04/2021 a 18h15m00s
640,92100 boulogne billancourt
642,mercredi 
643,responsable de lunite fonctionnelle
644,folate b9
646,mede
647,"19,67eur 2flecainice ega lp 150mg gelu30 (16542)"
648,1) apixaban 5 mg comprime
654,3- spray lingettes (
655,antologie
656,cabinet devatine
657,board en radiologie interventionnelle
658,service des urgences
661,nintedanib 150 mg capsule (ofev*) 1x2/j
662,"paris, le 07/05/2021"
665,a ladresse suivante 
667,gynecologie chirurgicale et medicale
668,"paris, le"
669,peris le 19/03/2021
670,ordonnance bizone
671, numero dimnatricul
672,921 ragt facture pharmacie de la plaine
673,21 avr 21
674,poids en kg
675,ordonnance editee en presence du patient
677,membre dune association de gestion agreee le reglement des honoraires par cheque est accepte
681,"leeloo ge 0,1mg/0,02mg cpr 3x21 (levonorgestrel  ethinylestradiol)"
684,adresse de lassure(e)
685,leon
686,specialiste medecine generale
687,piom et n du centre de pxriement ou de la section
688,centre municipal de sante
690,"x medicament, indiquer son nom (inarque ou generique)nintedanib 150 mg capsule (ofev*)"
691,"doliprane 2,4% suspension buvable 100ml"
692,"le 5 aout 2021,"
693,"boulogne billancourt, le 30/09/2021"
694,"du diabetiquetraite par insuline,"
695,hopital saint louis
696,endocriniennes
697,centre dimagerie medicale de louest parisien
698, cariban 10 mg/10 mg gel lm plq/2x12 (doxylamine succinate 10 mg 
699,15/10/2021
700,95100 argenteuil
701,de 166 a 19h
703,el aux conditions des prescription et dutilisation prevues par la fiche dinformation therapcutique etablic par la haute autorite de sante
704, de 10h a 12h
707,rendezvous consultation
708,omeprazole gnr gast 20mg
710,soin de support
715,92350 le plessisrobinson
716,vaccination a delivrance gratuite
717,"dt deliv, v"
718,dtpca
720,28
721,brothy
722,prescriptions sans rapport avec laffection de longue duree rec
724,| 2 x stilnox 10mg cpr pese b/14 34009 3465857 0
725,dans le cadre de lald 
726,enfant
729,nombre de produit 1
730,hac ire de
736,3) doliprane 1000 mg cpr plq/8 (8 comprimes) 2 boites
737,frodhasue
739,"carticles 3131, 4411 et 4416 du code penal artides l 11413 et l 162114 du code de la securtta soclalo)"
740,avec 
741,"69,75"
742,preparation pour irm injecte
743,2/ doliprane comprime 1000mb (paracetamol)
746," 3 repevax suspension ini ser (vaccin diphterie tetanos coqueluche poliomyelite rappel > 3 ans, suspension injectable)"
747,consultations sur rendezvous et visites a domicile sous reserve dappel le matin avant 9 heures
749,centre de sante mediksante
751,"membre dune aga, le reglement des honoraires par cheque est autorise"
754,"exemple  pas de renouvellement par sms, mail le renouvellement"
755,mopral 20 mg gel gastrores fi/30
756,ceinture abdominale
757,fungizone suspension
758,cabinet medical
760,macrogol [4000] 10 g pdre p solution buvable sach
761,route de chauvel  bp 465  97159 pointeapitre cedex
764,nfiness
765,sultation priivee
768,hypersensibilite au 
769,conisultation sur rdv
770,service des maladies infectieuses
772,daktarin gel buccal
774,sur rendez vaus  consultations et visites
775,ancien chef de clinique assistant des hopitaux de paris
776,identificallon de la structure
777,l 4113 et i1621 du code de la securite sucialej
778,diu hypertension arterielle
779,"1 zopiclone 7,5mg arrow cpr sec 14 (zopiclone)"
780,sertaconazole nitrate 2 % creme (monazol)
781,ancien chef de clinique des hopitaux de paris
782,"tn noch , onbet de retabllement et nam, finess ou siret)"
783,f5
784,"traison see du cabinet, de tetebissoment el nam finess qu siret)"
785,"montant assure 0,00eur"
786,"1,02 100%"
787,1 hongare da medicaments specifiquos
788,t de service
790,praticiens hosnitaliers
791,"sil sagit dun produit ou dune prestation, preciser la quantite de praduits necessaires ou la posologie"
792,traitement(s) : toux severe
793,clinique hartmanniishh 26 boulevard victor hugo 92200 neuillysurseine france
794,"0,00jeur"
797,zometa
800,"en cas durgence, appelez le 15"
801,$2 ru du genrak leclare
802,ne le 08/04/1985
805,| 3 x seresta 50mg cpr sec b/20 34009 3095969 5
807,mdneant assure 
808,diprosalic lotion
809,et alterner avec elution ducray
810,4 poches souples de chlorure de sodium 09% de 100ml
812,et dentaire
813,(noin de famille (de naissance) suivi du nom dusage (facultatif et sil y a licu))
814,71 ans
817,"velizy villacoublay, le 04/10/2021"
819,om khe tib
820,duree du traitement 14 jours
821,prunier dafrigque 50 mg capsule ( tadenan)
822,n le matin 
823,chirurgie odontologique
824,remb
825,nrpps 
826,(mte)
827,"1) spasfon cpr enr plq/30 (30 comprimes, comprime enrobe)  1 boite"
828,residence loree de senart bat corot
